model,feature,mean_importance,mean_importance_share,mean_rank
grievance_gbm,vdem_v2xeg_eqdr,678.801270613396,0.15756973557644646,1.4285714285714286
grievance_gbm,vdem_v2x_egaldem,556.9173536391971,0.12669457252578487,3.142857142857143
grievance_gbm,vdem_v2elintim,456.35882538539386,0.11051585937461045,4.428571428571429
grievance_gbm,vdem_v2elvotbuy,481.0545258037027,0.1061391162560609,4.428571428571429
grievance_gbm,vdem_v2x_cspart,393.7235034832607,0.09573065477859333,5.571428571428571
grievance_gbm,vdem_v2x_egal,378.48482830833797,0.08492905183899636,5.714285714285714
grievance_gbm,vdem_v2elfrfair,369.59023113423547,0.08611152683029909,6
grievance_gbm,vdem_v2xeg_eqprotec,372.3781274591841,0.08290251759116599,6
grievance_gbm,vdem_v2x_frassoc_thick,169.90007747011435,0.03571133101390715,10
grievance_gbm,vdem_v2x_freexp_altinf,167.52905864179937,0.03645218675252645,10.142857142857142
grievance_gbm,vdem_v2elirreg,171.39922750338212,0.03988407314148921,10.285714285714286
grievance_gbm,vdem_v2xeg_eqaccess,95.6511400014671,0.019935631792327085,11.857142857142858
grievance_gbm,vdem_v2x_suffr,51.62492766956117,0.013273435385019891,12
grievance_gbm,fh_cl,10.673090957307178,0.003046133788586724,14.142857142857142
grievance_gbm,fh_pr,4.455713814343698,0.0011041733541860832,14.857142857142858
grievance_rf,vdem_v2x_egaldem,0.543832183186579,0.10340169485959394,1.7142857142857142
grievance_rf,vdem_v2x_frassoc_thick,0.5095923373876691,0.0969549496232347,2.5714285714285716
grievance_rf,vdem_v2x_freexp_altinf,0.5316208743887617,0.09654187235854982,2.7142857142857144
grievance_rf,vdem_v2elvotbuy,0.48964763792558147,0.09193133342315689,3.5714285714285716
grievance_rf,vdem_v2x_egal,0.42517896916540904,0.08178397159130918,4.714285714285714
grievance_rf,vdem_v2elfrfair,0.3678760653250167,0.06948420105243941,6.857142857142857
grievance_rf,vdem_v2x_cspart,0.35072642515295815,0.06701882451175946,7.428571428571429
grievance_rf,vdem_v2xeg_eqprotec,0.35305958624279166,0.06593119362819831,7.857142857142857
grievance_rf,vdem_v2elintim,0.32328401485099645,0.06190248649460275,8.142857142857142
grievance_rf,vdem_v2elirreg,0.31309845411568954,0.058757987412383667,9.857142857142858
grievance_rf,vdem_v2xeg_eqaccess,0.28435951258506326,0.05385902601152193,11.285714285714286
grievance_rf,vdem_v2xeg_eqdr,0.2785431377533783,0.05319469631168434,11.285714285714286
grievance_rf,fh_cl,0.22044873596728365,0.040344991277595596,13.285714285714286
grievance_rf,fh_pr,0.19824597657794463,0.03746684043411491,13.714285714285714
grievance_rf,vdem_v2x_suffr,0.10909116322015966,0.02142593100985517,15
