model,horizons,mean_mse,mean_rmse,mean_crps_det,mean_crps_prob,mean_coverage80,mean_calibration_error80,mean_sharpness_width80
benchmark_lag123,7,0.37863133292395057,0.6144009911439174,0.24809795456512784,0.27482895743420815,0.9133873456790124,0.1133873456790123,1.6675301017876119
benchmark_roll3,7,0.4884984247264942,0.6980680889164667,0.278624455695727,0.31973162764120294,0.8966049382716049,0.09660493827160489,1.8637392849226073
grievance_gbm,7,0.9228875186067881,0.9579194557441116,0.3944336319470458,0.4378104916812366,0.8774250440917107,0.0774250440917107,2.30442056094192
grievance_rf,7,0.9703224892793373,0.9815159599304049,0.4445841267846687,0.4567759492251933,0.8800981040564374,0.08009810405643733,2.452440039968301
