horizon,model,best_mtry,splitrule,min_node_size,cv_mse,cv_rmse
1,grievance_rf,3,variance,5,0.6821700302405708,0.8259358511655556
2,grievance_rf,3,variance,10,0.7633639370905972,0.8737070087223733
3,grievance_rf,3,variance,5,0.8595206290990631,0.9271033540544782
4,grievance_rf,3,variance,5,0.8862558289294649,0.9414116150385361
5,grievance_rf,3,variance,10,0.97593818102997,0.9878958351111569
6,grievance_rf,3,variance,5,1.1237950537197845,1.0600920024789284
7,grievance_rf,3,variance,10,1.1699154367637687,1.081626292563087
