model,horizons,mean_mse,mean_rmse,mean_crps_det,mean_crps_prob,mean_coverage80,mean_calibration_error80,mean_sharpness_width80
benchmark_lag123,7,0.37863133292395057,0.6144009911439174,0.24809795456512784,0.27482895743420815,0.9133873456790124,0.1133873456790123,1.6675301017876119
benchmark_roll3,7,0.4884984247264942,0.6980680889164667,0.278624455695727,0.31973162764120294,0.8966049382716049,0.09660493827160489,1.8637392849226073
natural_resources_rf,7,0.9285639150467511,0.9601624803515035,0.4573316344833324,0.44849134441637917,0.872905643738977,0.07290564373897702,2.3469387968744715
natural_resources_gbm,7,0.9325068456487067,0.9627736439227488,0.4382326725617326,0.4417799406456831,0.8756613756613757,0.07566137566137564,2.3117076377165997
