model,feature,mean_importance,mean_importance_share,mean_rank
natural_resources_gbm,wgi_PV_EST,6412.942154474968,0.36629813207671647,1
natural_resources_gbm,polity_polity2,3933.1606172777297,0.22281410876649785,2
natural_resources_gbm,wgi_CC_EST,2249.7637891618315,0.12665628331591416,3
natural_resources_gbm,wgi_RQ_EST,908.785951925651,0.05165930726358177,4.714285714285714
natural_resources_gbm,vdem_v2x_egal,771.3095994437432,0.04453166764206768,5.428571428571429
natural_resources_gbm,vdem_v2xeg_eqdr,546.2212523074576,0.03359047664098823,7.428571428571429
natural_resources_gbm,wgi_GE_EST,490.93095626271906,0.028951024683985478,7.571428571428571
natural_resources_gbm,wgi_RL_EST,561.5273883059554,0.03184894581716131,7.714285714285714
natural_resources_gbm,polity_autoc,565.6673496074502,0.03733317587824422,8.142857142857142
natural_resources_gbm,polity_durable,419.25386950910774,0.025902226543718206,9.142857142857142
natural_resources_gbm,fh_cl,242.2102492869641,0.01445730301717808,10.857142857142858
natural_resources_gbm,polity_xconst,191.4501224363101,0.011610120324550019,11.142857142857142
natural_resources_gbm,vdem_v2xeg_eqaccess,74.5604123303658,0.004347228029396485,12.857142857142858
natural_resources_rf,polity_polity2,1.1126842595188364,0.11518174161421142,1.2857142857142858
natural_resources_rf,wgi_PV_EST,1.070334467639331,0.10957878708191254,2
natural_resources_rf,polity_autoc,0.9500723283000082,0.09847030895961398,3
natural_resources_rf,wgi_CC_EST,0.8326929736303811,0.08557125029719684,4.285714285714286
natural_resources_rf,polity_xconst,0.8388392603262271,0.08676039049080334,4.428571428571429
natural_resources_rf,wgi_RL_EST,0.7356353595783299,0.07589649087111693,6.142857142857143
natural_resources_rf,vdem_v2x_egal,0.6986311255587194,0.07196207238453338,7.285714285714286
natural_resources_rf,wgi_RQ_EST,0.6684576602811249,0.06855627944603931,8.571428571428571
natural_resources_rf,vdem_v2xeg_eqdr,0.6526997875297101,0.06752578927286812,9
natural_resources_rf,wgi_GE_EST,0.6550795702937282,0.06722443529573582,9
natural_resources_rf,polity_durable,0.5157277473081234,0.05333936823567109,11.428571428571429
natural_resources_rf,vdem_v2xeg_eqaccess,0.5151293560072971,0.053018101284456116,11.857142857142858
natural_resources_rf,fh_cl,0.4544832861597665,0.046914984765841064,12.714285714285714
