horizon,model,n,mse,rmse,crps_det,crps_prob,coverage80,calibration_error80,sharpness_width80
1,benchmark_lag123,5184,0.3045592610529942,0.5518688803085332,0.2180108251607967,0.2453475968304697,0.9184027777777778,0.11840277777777775,1.5145056882073267
1,benchmark_roll3,5184,0.39589370469310897,0.6292008460683353,0.24972531576352136,0.2916058630686731,0.8993055555555556,0.09930555555555554,1.7257127896884104
1,natural_resources_rf,5184,0.6567513746535504,0.8104019833721722,0.38887730043296365,0.3821064148288047,0.8805941358024691,0.0805941358024691,2.077755029374117
1,natural_resources_gbm,5184,0.6690123449160315,0.817931748323802,0.36027901332066625,0.3797674966309425,0.8873456790123457,0.08734567901234569,2.0997320726249766
2,benchmark_lag123,5184,0.342913947066751,0.5855885475884506,0.2336778458946719,0.26088333178480116,0.9170524691358025,0.11705246913580247,1.5958297765109908
2,benchmark_roll3,5184,0.45601992092114346,0.675292470653378,0.2682225203894245,0.3090187954892809,0.8975694444444444,0.09756944444444438,1.7956874267728387
2,natural_resources_rf,5184,0.773728750449155,0.8796185255263528,0.42265871536243277,0.41317960793441255,0.8757716049382716,0.07577160493827151,2.1818571179488364
2,natural_resources_gbm,5184,0.7935567456199004,0.8908180204844873,0.40248605441622276,0.4132098678332284,0.8763503086419753,0.07635030864197523,2.1974777876110902
3,benchmark_lag123,5184,0.36222874832164054,0.6018544245260979,0.24048135509306517,0.26854104641462706,0.9164737654320988,0.11647376543209875,1.6485471096080109
3,benchmark_roll3,5184,0.47031688593221105,0.6857965339167377,0.2732196061849515,0.3147190561169391,0.8960262345679012,0.09602623456790116,1.8424479511991185
3,natural_resources_rf,5184,0.8831525316315897,0.9397619547691797,0.4526647383580106,0.43928077574466107,0.8722993827160493,0.0722993827160493,2.28066139352684
3,natural_resources_gbm,5184,0.9201412195757424,0.9592399176304864,0.43687490868518813,0.44053191029774214,0.8742283950617284,0.0742283950617284,2.3117950680349155
4,benchmark_lag123,5184,0.39491831041755227,0.6284252623960563,0.25505073835575875,0.2812549386113199,0.9116512345679012,0.11165123456790116,1.6843508920877743
4,benchmark_roll3,5184,0.5043514147125839,0.7101770305442044,0.28365585738781945,0.32487283108132464,0.8950617283950617,0.09506172839506166,1.8916408100179993
4,natural_resources_rf,5184,0.9829297296835849,0.9914281263327085,0.4728467602991037,0.4575418238340362,0.8665123456790124,0.06651234567901232,2.3223447060270996
4,natural_resources_gbm,5184,0.991748927421166,0.9958659183952255,0.45682939374658865,0.45127897832699454,0.8690200617283951,0.06902006172839503,2.3107189252708284
5,benchmark_lag123,5184,0.40242374803525527,0.634368779209109,0.25974330408884755,0.28664817457613784,0.9087577160493827,0.10875771604938267,1.730163610237835
5,benchmark_roll3,5184,0.5250817438213875,0.7246252437097314,0.2895187743351072,0.3306292115746859,0.8958333333333334,0.09583333333333333,1.9151425906627453
5,natural_resources_gbm,5184,1.0399983963980681,1.019803116487721,0.4676318495403894,0.4663110085118253,0.8709490740740741,0.07094907407407403,2.35651952559582
5,natural_resources_rf,5184,1.0519108247393445,1.0256270397855862,0.48426339226587467,0.47531653181849953,0.8674768518518519,0.06747685185185182,2.408221954917596
6,benchmark_lag123,5184,0.4143920807180286,0.6437329265448744,0.2618137987302746,0.2889459135182786,0.9106867283950617,0.11068672839506166,1.7508392622558238
6,benchmark_roll3,5184,0.5321293417407763,0.729471960901018,0.29102817196806996,0.3328469471354445,0.8966049382716049,0.09660493827160488,1.9380630415276983
6,natural_resources_gbm,5184,1.0496800639344368,1.0245389518873536,0.4681566412168062,0.46849147662604074,0.8755787037037037,0.07557870370370368,2.4386883787279587
6,natural_resources_rf,5184,1.0600419192105308,1.0295833716657097,0.4851456433823058,0.48194584133066715,0.8751929012345679,0.0751929012345679,2.566067589408063
7,benchmark_lag123,5184,0.4289832348554322,0.654968117434301,0.2679078146324802,0.2921817003038227,0.9106867283950617,0.11068672839506166,1.748474373605522
7,benchmark_roll3,5184,0.535695961264248,0.7319125366218617,0.2950009438411951,0.3344286890220726,0.8958333333333334,0.09583333333333333,1.9374803845894402
7,natural_resources_gbm,5184,1.0634102216756012,1.0312178342501652,0.4753708470062667,0.47286884629300796,0.8761574074074074,0.0761574074074074,2.46702170615061
7,natural_resources_rf,5184,1.0914322749595018,1.0447163610088155,0.49486489128263556,0.4900684154235729,0.8724922839506173,0.07249228395061724,2.5916637869187484
