horizon,model,best_mtry,splitrule,min_node_size,cv_mse,cv_rmse
1,regime_rf10,5,variance,5,0.6753614796991616,0.8218037963523663
2,regime_rf10,5,variance,5,0.7527386887874482,0.8676051456667648
3,regime_rf10,5,variance,5,0.8292908543235944,0.9106540804957689
4,regime_rf10,5,variance,5,0.853401851619901,0.9237975165694596
5,regime_rf10,5,variance,5,0.9057004482171914,0.9516829557248524
6,regime_rf10,5,variance,5,1.0415268666330177,1.020552236111909
7,regime_rf10,5,variance,5,1.0585994327795758,1.02888261370264
