model,feature,mean_importance,mean_importance_share,mean_rank
democracy_gbm,wgi_VA_EST,3291.72913085262,0.2733249204451463,1
democracy_gbm,polity_polity2,2508.8787264292364,0.21137962457523402,2
democracy_gbm,wgi_RL_EST,1775.8724953616031,0.14915080399268293,3.4285714285714284
democracy_gbm,vdem_v2x_egaldem,1689.9766352347503,0.1388628147025612,3.857142857142857
democracy_gbm,wgi_GE_EST,1232.994446073645,0.10202524600835722,4.857142857142857
democracy_gbm,vdem_v2x_libdem,756.037670037409,0.06252115254168006,5.857142857142857
democracy_gbm,vdem_v2x_delibdem,366.6782419842434,0.0335454360491519,7.285714285714286
democracy_gbm,fh_cl,205.72132298659506,0.01929147951973959,8
democracy_gbm,vdem_v2x_polyarchy,77.57421389272466,0.006551108965693978,9.142857142857142
democracy_gbm,vdem_v2x_partipdem,40.066615402737355,0.00334741319975284,9.571428571428571
democracy_rf,wgi_VA_EST,1.541731734241882,0.14150602318500458,1
democracy_rf,vdem_v2x_libdem,1.3522530769501724,0.12315081696266963,2.142857142857143
democracy_rf,vdem_v2x_polyarchy,1.2979292033204526,0.11873025717114365,2.857142857142857
democracy_rf,polity_polity2,1.1005448872710675,0.10039789230773706,4.857142857142857
democracy_rf,vdem_v2x_egaldem,1.0801213533741922,0.0988769097614656,5.571428571428571
democracy_rf,vdem_v2x_delibdem,1.0628437854969512,0.096824197041213,6.428571428571429
democracy_rf,vdem_v2x_partipdem,1.0405663714843008,0.09469954827006277,6.571428571428571
democracy_rf,wgi_RL_EST,1.0350530358379797,0.09415588853847497,6.571428571428571
democracy_rf,wgi_GE_EST,0.911893435629359,0.08300002201353876,9
democracy_rf,fh_cl,0.5397902179438608,0.04865844474869,10
