horizon,model,n,mse,rmse,crps_det,crps_prob,coverage80,calibration_error80,sharpness_width80
1,benchmark_lag123,5184,0.3045592610529942,0.5518688803085332,0.2180108251607967,0.2453475968304697,0.9184027777777778,0.11840277777777775,1.5145056882073267
1,benchmark_roll3,5184,0.39589370469310897,0.6292008460683353,0.24972531576352136,0.2916058630686731,0.8993055555555556,0.09930555555555554,1.7257127896884104
1,democracy_gbm,5184,0.666125915306201,0.8161653725233637,0.34752854332525474,0.37763025255018434,0.8842592592592593,0.08425925925925926,2.0968413870742153
1,democracy_rf,5184,0.6912595706984673,0.8314202130682579,0.40025813706820973,0.3897826798530559,0.8792438271604939,0.07924382716049383,2.089777153966761
2,benchmark_lag123,5184,0.342913947066751,0.5855885475884506,0.2336778458946719,0.26088333178480116,0.9170524691358025,0.11705246913580247,1.5958297765109908
2,benchmark_roll3,5184,0.45601992092114346,0.675292470653378,0.2682225203894245,0.3090187954892809,0.8975694444444444,0.09756944444444438,1.7956874267728387
2,democracy_gbm,5184,0.7844377781743229,0.8856849203719813,0.3875019308784869,0.4100286187281172,0.8782793209876543,0.07827932098765422,2.1969854222544445
2,democracy_rf,5184,0.808213032584935,0.8990066921802835,0.4381560497884388,0.42299564486181096,0.8701774691358025,0.07017746913580247,2.207456537935548
3,benchmark_lag123,5184,0.36222874832164054,0.6018544245260979,0.24048135509306517,0.26854104641462706,0.9164737654320988,0.11647376543209875,1.6485471096080109
3,benchmark_roll3,5184,0.47031688593221105,0.6857965339167377,0.2732196061849515,0.3147190561169391,0.8960262345679012,0.09602623456790116,1.8424479511991185
3,democracy_gbm,5184,0.9083231753306575,0.9530599012290139,0.41750240334424266,0.4368008467035876,0.8782793209876543,0.07827932098765422,2.3033733177653613
3,democracy_rf,5184,0.9339828783757417,0.9664278961080033,0.47094062184764224,0.4515888582452029,0.8703703703703703,0.0703703703703703,2.320952497180003
4,benchmark_lag123,5184,0.39491831041755227,0.6284252623960563,0.25505073835575875,0.2812549386113199,0.9116512345679012,0.11165123456790116,1.6843508920877743
4,benchmark_roll3,5184,0.5043514147125839,0.7101770305442044,0.28365585738781945,0.32487283108132464,0.8950617283950617,0.09506172839506166,1.8916408100179993
4,democracy_gbm,5184,0.9789276127248316,0.9894077080379108,0.4302067343108088,0.446548014206935,0.8746141975308642,0.07461419753086418,2.3026296837791445
4,democracy_rf,5184,0.9939372198479197,0.9969640012798455,0.47566252918883445,0.4594530403691504,0.8695987654320988,0.06959876543209875,2.3600321252111716
5,benchmark_lag123,5184,0.40242374803525527,0.634368779209109,0.25974330408884755,0.28664817457613784,0.9087577160493827,0.10875771604938267,1.730163610237835
5,benchmark_roll3,5184,0.5250817438213875,0.7246252437097314,0.2895187743351072,0.3306292115746859,0.8958333333333334,0.09583333333333333,1.9151425906627453
5,democracy_gbm,5184,1.0247681371490178,1.0123083211892598,0.4532381903356887,0.46243685263325257,0.8719135802469136,0.07191358024691352,2.344174912278904
5,democracy_rf,5184,1.0854018597916655,1.0418262138147925,0.503357851332354,0.48490886789595766,0.8694058641975309,0.06940586419753081,2.4465274736940423
6,benchmark_lag123,5184,0.4143920807180286,0.6437329265448744,0.2618137987302746,0.2889459135182786,0.9106867283950617,0.11068672839506166,1.7508392622558238
6,benchmark_roll3,5184,0.5321293417407763,0.729471960901018,0.29102817196806996,0.3328469471354445,0.8966049382716049,0.09660493827160488,1.9380630415276983
6,democracy_gbm,5184,1.030296303981332,1.0150351245062075,0.44672382175398645,0.462960018004967,0.8746141975308642,0.07461419753086418,2.422301769314712
6,democracy_rf,5184,1.0948723330318324,1.046361473407652,0.5064597915837818,0.4933556596972277,0.8767361111111112,0.07673611111111112,2.6228706325877793
7,benchmark_lag123,5184,0.4289832348554322,0.654968117434301,0.2679078146324802,0.2921817003038227,0.9106867283950617,0.11068672839506166,1.748474373605522
7,benchmark_roll3,5184,0.535695961264248,0.7319125366218617,0.2950009438411951,0.3344286890220726,0.8958333333333334,0.09583333333333333,1.9374803845894402
7,democracy_gbm,5184,1.0456263997956365,1.0225587512684229,0.4525754841855177,0.4674011158203974,0.8777006172839507,0.07770061728395061,2.442668772568111
7,democracy_rf,5184,1.1148569385817853,1.0558678603792169,0.5103959348588825,0.49807063401558105,0.8798225308641975,0.07982253086419744,2.6465397909634962
