model,horizons,mean_mse,mean_rmse,mean_crps_det,mean_crps_prob,mean_coverage80,mean_calibration_error80,mean_sharpness_width80
benchmark_lag123,7,0.37863133292395057,0.6144009911439174,0.24809795456512784,0.27482895743420815,0.9133873456790124,0.1133873456790123,1.6675301017876119
benchmark_roll3,7,0.4884984247264942,0.6980680889164667,0.278624455695727,0.31973162764120294,0.8966049382716049,0.09660493827160489,1.8637392849226073
democracy_gbm,7,0.9197864746374285,0.9563171570180229,0.419325301161998,0.43768653123534873,0.877094356261023,0.07709435626102289,2.3012821807192703
democracy_rf,7,0.9603605475589067,0.9768391928911502,0.4721758450954491,0.45716505499114096,0.8736221340388007,0.07362213403880068,2.384879458791257
