horizon,model,feature,importance
1,grievance_gbm,vdem_v2xeg_eqdr,464.8692029256935
1,grievance_gbm,vdem_v2xeg_eqprotec,312.70763927696254
1,grievance_gbm,vdem_v2elfrfair,292.03505924071106
1,grievance_gbm,vdem_v2x_egaldem,286.6133145328668
1,grievance_gbm,vdem_v2x_cspart,253.28498677798387
1,grievance_gbm,vdem_v2elintim,233.5287575038016
1,grievance_gbm,vdem_v2x_egal,221.6706417215559
1,grievance_gbm,vdem_v2elvotbuy,186.49657837204506
1,grievance_gbm,vdem_v2elirreg,170.42225438989837
1,grievance_gbm,vdem_v2x_suffr,62.35880532537233
1,grievance_gbm,vdem_v2x_freexp_altinf,42.17624741639463
1,grievance_gbm,vdem_v2xeg_eqaccess,32.78339774473922
1,grievance_gbm,vdem_v2x_frassoc_thick,27.982800625255372
1,grievance_gbm,fh_cl,15.012186785455345
2,grievance_gbm,vdem_v2elintim,591.4913375436706
2,grievance_gbm,vdem_v2xeg_eqdr,494.3779293921888
2,grievance_gbm,vdem_v2x_egaldem,428.5729875350472
2,grievance_gbm,vdem_v2x_cspart,354.6466681914929
2,grievance_gbm,vdem_v2elvotbuy,308.86216827580984
2,grievance_gbm,vdem_v2x_egal,211.63274059774724
2,grievance_gbm,vdem_v2elfrfair,193.67133454800842
2,grievance_gbm,vdem_v2xeg_eqprotec,121.1159258861798
2,grievance_gbm,vdem_v2x_frassoc_thick,87.97334879714359
2,grievance_gbm,vdem_v2x_freexp_altinf,85.27605740595783
2,grievance_gbm,vdem_v2x_suffr,62.891322028369316
2,grievance_gbm,vdem_v2elirreg,52.116457486014184
2,grievance_gbm,vdem_v2xeg_eqaccess,51.02709509536888
2,grievance_gbm,fh_cl,24.115672243078155
3,grievance_gbm,vdem_v2xeg_eqdr,616.3159592229093
3,grievance_gbm,vdem_v2elvotbuy,495.9390737349042
3,grievance_gbm,vdem_v2elintim,484.67764977024365
3,grievance_gbm,vdem_v2x_egaldem,466.67970773992147
3,grievance_gbm,vdem_v2x_cspart,433.07099110918546
3,grievance_gbm,vdem_v2x_egal,303.8669896471965
3,grievance_gbm,vdem_v2elfrfair,295.69264317060754
3,grievance_gbm,vdem_v2xeg_eqprotec,235.96109627358197
3,grievance_gbm,vdem_v2x_freexp_altinf,191.93982766672676
3,grievance_gbm,vdem_v2elirreg,171.51729877324254
3,grievance_gbm,vdem_v2x_frassoc_thick,144.08931573875893
3,grievance_gbm,vdem_v2xeg_eqaccess,70.68218616071351
3,grievance_gbm,vdem_v2x_suffr,33.9001695382267
3,grievance_gbm,fh_cl,0
4,grievance_gbm,vdem_v2xeg_eqdr,620.9580242654417
4,grievance_gbm,vdem_v2elintim,597.2614126984497
4,grievance_gbm,vdem_v2x_cspart,582.1716974740544
4,grievance_gbm,vdem_v2x_egaldem,580.333137488695
4,grievance_gbm,vdem_v2elfrfair,487.87343398608664
4,grievance_gbm,vdem_v2x_egal,378.2508908611564
4,grievance_gbm,vdem_v2xeg_eqprotec,356.1856747391246
4,grievance_gbm,vdem_v2elvotbuy,335.6732014078396
4,grievance_gbm,vdem_v2x_freexp_altinf,185.77716272905016
4,grievance_gbm,vdem_v2x_frassoc_thick,168.82309354772337
4,grievance_gbm,vdem_v2elirreg,137.9624361492877
4,grievance_gbm,vdem_v2x_suffr,56.61737460921753
4,grievance_gbm,vdem_v2xeg_eqaccess,30.57284031809789
4,grievance_gbm,fh_cl,17.03786631483631
5,grievance_gbm,vdem_v2xeg_eqdr,795.4627040649118
5,grievance_gbm,vdem_v2x_egaldem,593.0996786376365
5,grievance_gbm,vdem_v2x_cspart,576.586492647162
5,grievance_gbm,vdem_v2elvotbuy,507.94923635430223
5,grievance_gbm,vdem_v2x_egal,445.0978831774603
5,grievance_gbm,vdem_v2elfrfair,427.92734816808445
5,grievance_gbm,vdem_v2elintim,384.04417867629166
5,grievance_gbm,vdem_v2xeg_eqprotec,294.79547914463154
5,grievance_gbm,vdem_v2x_frassoc_thick,202.93968187636432
5,grievance_gbm,vdem_v2elirreg,200.14664137138624
5,grievance_gbm,vdem_v2x_freexp_altinf,170.828582996252
5,grievance_gbm,vdem_v2x_suffr,59.213290166409266
5,grievance_gbm,vdem_v2xeg_eqaccess,29.737289069184243
5,grievance_gbm,fh_cl,18.289070109157848
6,grievance_gbm,vdem_v2x_egaldem,943.2252192401522
6,grievance_gbm,vdem_v2xeg_eqdr,860.4473962834711
6,grievance_gbm,vdem_v2elvotbuy,809.081304484379
6,grievance_gbm,vdem_v2x_egal,619.5278833187278
6,grievance_gbm,vdem_v2xeg_eqprotec,584.1617945900822
