horizon,model,n,crps_prob,coverage80,coverage95,calibration_error80,calibration_error95,sharpness_sd,sharpness_width80,sharpness_width95,scorecard
1,regime_stack,5184,0.37712815813127215,0.8881172839506173,0.9384645061728395,0.08811728395061724,0.011535493827160459,0.8096968775282873,2.075336602025903,3.1739534366999638,mixed_calibration
2,regime_stack,5184,0.4063184755720477,0.8775077160493827,0.9332561728395061,0.07750771604938267,0.01674382716049383,0.8517271912229915,2.1830646306574604,3.3387092389010453,mixed_calibration
3,regime_stack,5184,0.4331017727779447,0.8782793209876543,0.9346064814814815,0.07827932098765422,0.015393518518518445,0.8919173251944434,2.286076088878583,3.496251669136816,mixed_calibration
4,regime_stack,5184,0.442844908338599,0.8726851851851852,0.9340277777777778,0.07268518518518519,0.015972222222222165,0.8930646521657718,2.289016806231178,3.500749108221406,mixed_calibration
5,regime_stack,5184,0.4596577382955468,0.8719135802469136,0.9292052469135802,0.07191358024691352,0.02079475308641976,0.9126941114429303,2.339329134766051,3.577695174659859,mixed_calibration
6,regime_stack,5184,0.46129146802038745,0.8761574074074074,0.9363425925925926,0.0761574074074074,0.013657407407407396,0.9467636328437967,2.426652831743322,3.7112452444922885,mixed_calibration
7,regime_stack,5184,0.4647176760067708,0.8773148148148148,0.9344135802469136,0.07731481481481473,0.015586419753086389,0.953282918553394,2.443362433358056,3.736800374883763,mixed_calibration
