horizon,model,n,crps
1,grievance_rf,5184,0.3601098164812351
2,grievance_rf,5184,0.39967383519579847
3,grievance_rf,5184,0.4390380101498121
4,grievance_rf,5184,0.452498561496999
5,grievance_rf,5184,0.4740024455404741
6,grievance_rf,5184,0.4797226836786506
7,grievance_rf,5184,0.4939146335247964
