horizon,model,n,crps_prob,coverage80,calibration_error80,sharpness_width80
1,grievance_rf,5184,0.3831102495863543,0.8852237654320988,0.08522376543209875,2.1177746296545203
2,grievance_rf,5184,0.4171416094623928,0.8836805555555556,0.08368055555555554,2.240573164899481
3,grievance_rf,5184,0.4477540693409045,0.878858024691358,0.07885802469135794,2.379303719376143
4,grievance_rf,5184,0.46160510817903005,0.8742283950617284,0.0742283950617284,2.4117025018088434
5,grievance_rf,5184,0.4846279176896208,0.8722993827160493,0.0722993827160493,2.532821591964934
6,grievance_rf,5184,0.4953717994172181,0.8856095679012346,0.08560956790123453,2.713530172719704
7,grievance_rf,5184,0.5073933029970503,0.8844521604938271,0.08445216049382709,2.782177043969612
