horizon,model,best_mtry,splitrule,min_node_size,cv_mse,cv_rmse
1,grievance_rf,3,variance,10,0.6826959401944932,0.8262541619831595
2,grievance_rf,3,variance,5,0.7641631623337453,0.8741642650747886
3,grievance_rf,3,variance,10,0.8617228411526285,0.9282902784973182
4,grievance_rf,3,variance,5,0.8853506398387958,0.9409307306272847
5,grievance_rf,3,variance,5,0.976510769643625,0.9881855947359408
6,grievance_rf,3,variance,5,1.1208232925359705,1.0586894221328418
7,grievance_rf,3,variance,10,1.1782497694481866,1.0854721412584418
