horizon,model,n,crps_prob,coverage80,calibration_error80,sharpness_width80
1,natural_resources_rf,5184,0.3821064148288047,0.8805941358024691,0.0805941358024691,2.077755029374117
2,natural_resources_rf,5184,0.41317960793441255,0.8757716049382716,0.07577160493827151,2.1818571179488364
3,natural_resources_rf,5184,0.43928077574466107,0.8722993827160493,0.0722993827160493,2.28066139352684
4,natural_resources_rf,5184,0.4575418238340362,0.8665123456790124,0.06651234567901232,2.3223447060270996
5,natural_resources_rf,5184,0.47531653181849953,0.8674768518518519,0.06747685185185182,2.408221954917596
6,natural_resources_rf,5184,0.48194584133066715,0.8751929012345679,0.0751929012345679,2.566067589408063
7,natural_resources_rf,5184,0.4900684154235729,0.8724922839506173,0.07249228395061724,2.5916637869187484
