model,horizons,mean_mse,mean_rmse,mean_crps_det,mean_crps_prob,mean_coverage80,mean_calibration_error80,mean_sharpness_width80
benchmark_lag123,7,0.37863133292395057,0.6144009911439174,0.24809795456512784,0.27482895743420815,0.9133873456790124,0.1133873456790123,1.6675301017876119
benchmark_roll3,7,0.4884984247264942,0.6980680889164667,0.278624455695727,0.31973162764120294,0.8966049382716049,0.09660493827160489,1.8637392849226073
grievance_gbm,7,0.9228981756652501,0.9579248374109574,0.3944587385627804,0.4378076734511909,0.8773974867724867,0.07739748677248673,2.304376235378234
grievance_rf,7,0.970630576842174,0.981583918200553,0.44270856943825226,0.4567148652389387,0.8806216931216931,0.08062169312169308,2.4539832606276053
