model,feature,mean_importance,mean_importance_share,mean_rank
grievance_gbm,vdem_v2xeg_eqdr,681.71689323825,0.1582476459766674,1.2857142857142858
grievance_gbm,vdem_v2x_egaldem,556.6447457566937,0.12666846354117756,3.142857142857143
grievance_gbm,vdem_v2elintim,456.6464917641384,0.11061404073393276,4.285714285714286
grievance_gbm,vdem_v2elvotbuy,481.2515985910507,0.10620208646733294,4.571428571428571
grievance_gbm,vdem_v2x_egal,382.8705915228584,0.08591633089425572,5.714285714285714
grievance_gbm,vdem_v2x_cspart,387.5905232233264,0.09453852186954273,5.857142857142857
grievance_gbm,vdem_v2xeg_eqprotec,375.61617940463844,0.08363592662069365,5.857142857142857
grievance_gbm,vdem_v2elfrfair,365.877240252326,0.08532287962248387,6
grievance_gbm,vdem_v2x_frassoc_thick,175.72166101192857,0.03700236886126634,9.857142857142858
grievance_gbm,vdem_v2x_freexp_altinf,167.50622349813372,0.03645800864038826,10.142857142857142
grievance_gbm,vdem_v2elirreg,171.43047326093424,0.0398990049947956,10.428571428571429
grievance_gbm,vdem_v2xeg_eqaccess,92.21086742188898,0.01918030159804039,11.857142857142858
grievance_gbm,vdem_v2x_suffr,51.61868085902325,0.013275366446275819,12
grievance_gbm,fh_cl,10.636399350361094,0.0030390537331469324,14
grievance_rf,vdem_v2x_egaldem,0.5779411730829712,0.10893714243277382,1.5714285714285714
grievance_rf,vdem_v2x_frassoc_thick,0.5285647284641661,0.09990400585821299,2.4285714285714284
grievance_rf,vdem_v2x_freexp_altinf,0.5347021546162172,0.09970093016441639,2.5714285714285716
grievance_rf,vdem_v2elvotbuy,0.49885751325091965,0.09340174784953913,4
grievance_rf,vdem_v2x_egal,0.4483117223766394,0.08530798664112636,4.857142857142857
grievance_rf,vdem_v2xeg_eqprotec,0.37626548270261445,0.06968706690780352,7.142857142857143
grievance_rf,vdem_v2elfrfair,0.3766541853942472,0.07034326651458592,7.285714285714286
grievance_rf,vdem_v2x_cspart,0.3676792127731418,0.07078567589416339,7.285714285714286
grievance_rf,vdem_v2elintim,0.3301748861692374,0.06265015219267075,8.857142857142858
grievance_rf,vdem_v2elirreg,0.31688054656692116,0.05954477213646554,10.285714285714286
grievance_rf,vdem_v2xeg_eqaccess,0.3134313416821663,0.05818353374392685,10.285714285714286
grievance_rf,vdem_v2xeg_eqdr,0.29177292036606667,0.05501343464951893,11.571428571428571
grievance_rf,fh_cl,0.24646107521997895,0.04497979544469266,12.857142857142858
grievance_rf,vdem_v2x_suffr,0.10994705295489604,0.02156048957010379,14
