horizon,model,n,crps_prob,coverage80,calibration_error80,sharpness_width80
1,democracy_gbm,5184,0.37763025255018434,0.8842592592592593,0.08425925925925926,2.0968413870742153
2,democracy_gbm,5184,0.4100286187281172,0.8782793209876543,0.07827932098765422,2.1969854222544445
3,democracy_gbm,5184,0.4368008467035876,0.8782793209876543,0.07827932098765422,2.3033733177653613
4,democracy_gbm,5184,0.446548014206935,0.8746141975308642,0.07461419753086418,2.3026296837791445
5,democracy_gbm,5184,0.46243685263325257,0.8719135802469136,0.07191358024691352,2.344174912278904
6,democracy_gbm,5184,0.462960018004967,0.8746141975308642,0.07461419753086418,2.422301769314712
7,democracy_gbm,5184,0.4674011158203974,0.8777006172839507,0.07770061728395061,2.442668772568111
