horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
1,rf_lag123_caret_cv,0.5943459171464627,0.7894185556223291,0.21700230572052115,1,variance,5,Fold1
1,rf_lag123_caret_cv,0.5995381647852688,0.7851859090377206,0.21084950140440104,2,variance,5,Fold1
1,rf_lag123_caret_cv,0.6031797718409975,0.7825259362641549,0.21065321045562097,3,variance,5,Fold1
1,rf_lag123_caret_cv,0.606312765946374,0.8454382863890325,0.24534881888253648,1,variance,5,Fold10
1,rf_lag123_caret_cv,0.61688333200660594,0.8396608749747841,0.24187240330180484,2,variance,5,Fold10
1,rf_lag123_caret_cv,0.6256273498295705,0.8350148017254037,0.24300062326606336,3,variance,5,Fold10
1,rf_lag123_caret_cv,0.6111045117021676,0.8017647014890296,0.23366504540115068,1,variance,5,Fold2
1,rf_lag123_caret_cv,0.6347379464305032,0.7836805479995722,0.2303996519491505,2,variance,5,Fold2
1,rf_lag123_caret_cv,0.6482633981182006,0.7737122969896582,0.2313826426815215,3,variance,5,Fold2
1,rf_lag123_caret_cv,0.5797155457761906,0.8283093567519076,0.22871855319872111,1,variance,5,Fold3
1,rf_lag123_caret_cv,0.5917364391790856,0.8189363843134474,0.2231878681175285,2,variance,5,Fold3
1,rf_lag123_caret_cv,0.6032478204964946,0.8111249900846806,0.22454502332177742,3,variance,5,Fold3
1,rf_lag123_caret_cv,0.5944129044805073,0.8608257164690971,0.2326881633676045,1,variance,5,Fold4
1,rf_lag123_caret_cv,0.6029329028859128,0.8544447195192486,0.22634498947689136,2,variance,5,Fold4
1,rf_lag123_caret_cv,0.6045971385212023,0.8529379449443819,0.2264160845279576,3,variance,5,Fold4
1,rf_lag123_caret_cv,0.6680436314342055,0.8224139513980534,0.2704532441259439,1,variance,5,Fold5
1,rf_lag123_caret_cv,0.6873086532838223,0.8106644212371815,0.26921982841129005,2,variance,5,Fold5
1,rf_lag123_caret_cv,0.6965344374127309,0.8054304156863926,0.2701245519523741,3,variance,5,Fold5
1,rf_lag123_caret_cv,0.6296394333142813,0.8307883364618318,0.26596371030295146,1,variance,5,Fold6
1,rf_lag123_caret_cv,0.6445775183953621,0.8218593394371125,0.26339561395669203,2,variance,5,Fold6
1,rf_lag123_caret_cv,0.6523188005846133,0.8174573513418879,0.2642110370305192,3,variance,5,Fold6
1,rf_lag123_caret_cv,0.5639971031586862,0.8661995921155131,0.23710363693196207,1,variance,5,Fold7
1,rf_lag123_caret_cv,0.5777390139044394,0.8586586387880581,0.23431917554688803,2,variance,5,Fold7
1,rf_lag123_caret_cv,0.5845873512463261,0.8551116203651364,0.23691204719246253,3,variance,5,Fold7
1,rf_lag123_caret_cv,0.5331179980645445,0.8735779760718219,0.2261730371074159,1,variance,5,Fold8
1,rf_lag123_caret_cv,0.543482254078386,0.8679464704619111,0.22043617525488335,2,variance,5,Fold8
1,rf_lag123_caret_cv,0.5482086502125623,0.8655443569854228,0.2204149481487798,3,variance,5,Fold8
1,rf_lag123_caret_cv,0.528185527768473,0.8807809696975505,0.2305836085933553,1,variance,5,Fold9
1,rf_lag123_caret_cv,0.53412147001136,0.8775612653000918,0.22514095760814834,2,variance,5,Fold9
1,rf_lag123_caret_cv,0.5414536870305023,0.8740194081476786,0.2258621899563154,3,variance,5,Fold9
2,rf_lag123_caret_cv,0.6375991742668456,0.7573246619163703,0.2316233225423686,1,variance,5,Fold1
2,rf_lag123_caret_cv,0.6375940127478411,0.7570139621418781,0.22178264166121245,2,variance,5,Fold1
2,rf_lag123_caret_cv,0.6463102667792869,0.750387855442326,0.22131951645931647,3,variance,5,Fold1
2,rf_lag123_caret_cv,0.6535522506441341,0.8202412247676659,0.26170039453547167,1,variance,5,Fold10
2,rf_lag123_caret_cv,0.6729965004387933,0.8090707009723322,0.25941697146381626,2,variance,5,Fold10
2,rf_lag123_caret_cv,0.6834248473843265,0.8031394751063674,0.26178651827556687,3,variance,5,Fold10
2,rf_lag123_caret_cv,0.6311839137292249,0.7877361760971116,0.2431029130935398,1,variance,5,Fold2
2,rf_lag123_caret_cv,0.6438552959805683,0.7771580928843526,0.23764392804386894,2,variance,5,Fold2
2,rf_lag123_caret_cv,0.6564933211439073,0.7675498040054398,0.23914274009460892,3,variance,5,Fold2
2,rf_lag123_caret_cv,0.6152075153466425,0.8071863513059411,0.24213177612147843,1,variance,5,Fold3
2,rf_lag123_caret_cv,0.6254313762720357,0.7981244288156112,0.23734440902283155,2,variance,5,Fold3
2,rf_lag123_caret_cv,0.6344991548530092,0.7909452913596635,0.2375493774232664,3,variance,5,Fold3
