horizon,model,n,crps_prob,coverage80,calibration_error80,sharpness_width80
1,natural_resources_gbm,5184,0.3797674966309425,0.8873456790123457,0.08734567901234569,2.0997320726249766
2,natural_resources_gbm,5184,0.4132098678332284,0.8763503086419753,0.07635030864197523,2.1974777876110902
3,natural_resources_gbm,5184,0.44053191029774214,0.8742283950617284,0.0742283950617284,2.3117950680349155
4,natural_resources_gbm,5184,0.45127897832699454,0.8690200617283951,0.06902006172839503,2.3107189252708284
5,natural_resources_gbm,5184,0.4663110085118253,0.8709490740740741,0.07094907407407403,2.35651952559582
6,natural_resources_gbm,5184,0.46849147662604074,0.8755787037037037,0.07557870370370368,2.4386883787279587
7,natural_resources_gbm,5184,0.47286884629300796,0.8761574074074074,0.0761574074074074,2.46702170615061
