horizon,model,n,crps_prob,coverage80,calibration_error80,sharpness_width80
1,democracy_rf,5184,0.3897826798530559,0.8792438271604939,0.07924382716049383,2.089777153966761
2,democracy_rf,5184,0.42299564486181096,0.8701774691358025,0.07017746913580247,2.207456537935548
3,democracy_rf,5184,0.4515888582452029,0.8703703703703703,0.0703703703703703,2.320952497180003
4,democracy_rf,5184,0.4594530403691504,0.8695987654320988,0.06959876543209875,2.3600321252111716
5,democracy_rf,5184,0.48490886789595766,0.8694058641975309,0.06940586419753081,2.4465274736940423
6,democracy_rf,5184,0.4933556596972277,0.8767361111111112,0.07673611111111112,2.6228706325877793
7,democracy_rf,5184,0.49807063401558105,0.8798225308641975,0.07982253086419744,2.6465397909634962
