horizon,model,best_mtry,splitrule,min_node_size,cv_mse,cv_rmse
1,democracy_rf,3,variance,10,0.6647644582375944,0.8153308888038
2,democracy_rf,3,variance,5,0.7417407872902559,0.8612437444128439
3,democracy_rf,3,variance,10,0.8199744900548012,0.905524428193299
4,democracy_rf,3,variance,10,0.8478200190911841,0.9207714260831426
5,democracy_rf,3,variance,5,0.9111041648493042,0.9545177656017222
6,democracy_rf,3,variance,10,1.0471805776796455,1.023318414609864
7,democracy_rf,3,variance,10,1.066165668519956,1.0325529858171716
